Wavelength (nm)	Light Power (W)	
400.000000	6.709941E-6
401.000000	9.263293E-6
402.000000	1.403824E-5
403.000000	2.081817E-5
404.000000	2.788772E-5
405.000000	3.716551E-5
406.000000	5.086154E-5
407.000000	5.514551E-5
408.000000	5.982622E-5
409.000000	6.671774E-5
410.000000	6.675482E-5
411.000000	8.841114E-5
412.000000	0.000103
413.000000	0.000133
414.000000	0.000154
415.000000	0.000154
416.000000	0.000146
417.000000	0.000131
418.000000	8.863891E-5
419.000000	6.446165E-5
420.000000	6.555397E-5
421.000000	7.129697E-5
422.000000	6.443057E-5
423.000000	6.683652E-5
424.000000	7.439634E-5
425.000000	8.013771E-5
426.000000	8.497744E-5
427.000000	8.822238E-5
428.000000	9.676782E-5
429.000000	0.000108
430.000000	0.000117
431.000000	0.000118
432.000000	0.000117
433.000000	0.000118
434.000000	0.000132
435.000000	0.000135
436.000000	0.000136
437.000000	0.000146
438.000000	0.000151
439.000000	0.000149
440.000000	0.000147
441.000000	0.000161
442.000000	0.000157
443.000000	0.000150
444.000000	0.000147
445.000000	0.000146
446.000000	0.000142
447.000000	0.000158
448.000000	0.000178
449.000000	0.000166
450.000000	0.000153
451.000000	0.000167
452.000000	0.000176
453.000000	0.000163
454.000000	0.000142
455.000000	0.000149
456.000000	0.000175
457.000000	0.000193
458.000000	0.000196
459.000000	0.000185
460.000000	0.000172
461.000000	0.000161
462.000000	0.000157
463.000000	0.000157
464.000000	0.000157
465.000000	0.000158
466.000000	0.000148
467.000000	0.000120
468.000000	0.000116
469.000000	0.000150
470.000000	0.000159
471.000000	0.000121
472.000000	0.000112
473.000000	0.000154
474.000000	0.000160
475.000000	0.000124
476.000000	0.000115
477.000000	0.000135
478.000000	0.000126
479.000000	0.000122
480.000000	0.000145
481.000000	0.000143
482.000000	0.000104
483.000000	0.000106
484.000000	0.000134
485.000000	0.000113
486.000000	0.000100
487.000000	0.000119
488.000000	0.000118
489.000000	0.000100
490.000000	0.000111
491.000000	0.000123
492.000000	0.000135
493.000000	0.000144
494.000000	0.000131
495.000000	0.000127
496.000000	0.000145
497.000000	0.000155
498.000000	0.000142
499.000000	0.000137
500.000000	0.000152
501.000000	0.000182
502.000000	0.000174
503.000000	0.000161
504.000000	0.000194
505.000000	0.000215
506.000000	0.000199
507.000000	0.000159
508.000000	0.000156
509.000000	0.000159
510.000000	0.000139
511.000000	0.000123
512.000000	0.000137
513.000000	0.000156
514.000000	0.000193
515.000000	0.000220
516.000000	0.000280
517.000000	0.000335
518.000000	0.000288
519.000000	0.000234
520.000000	0.000222
521.000000	0.000170
522.000000	0.000134
523.000000	0.000122
524.000000	0.000160
525.000000	0.000224
526.000000	0.000249
527.000000	0.000269
528.000000	0.000304
529.000000	0.000291
530.000000	0.000219
531.000000	0.000164
532.000000	0.000130
533.000000	0.000138
534.000000	0.000149
535.000000	0.000187
536.000000	0.000269
537.000000	0.000271
538.000000	0.000202
539.000000	0.000199
540.000000	0.000165
541.000000	0.000143
542.000000	0.000149
543.000000	0.000174
544.000000	0.000237
545.000000	0.000256
546.000000	0.000229
